ability_id,short_effect,identifier
1,Has a 10% chance of making target Pokémon [flinch]{mechanic:flinch} with each hit.,stench
2,Summons [rain]{mechanic:rain} that lasts indefinitely upon entering battle.,drizzle
3,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} after each turn.,speed-boost
4,Protects against [critical hits]{mechanic:critical-hit}.,battle-armor
5,Prevents being KOed from full [HP]{mechanic:hp}. leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP.,sturdy
6,Prevents []{move:self-destruct}. []{move:explosion}. and []{ability:aftermath} from working while the Pokémon is in battle.,damp
7,Prevents [paralysis]{mechanic:paralysis}.,limber
8,Increases [evasion]{mechanic:evasion} to 1.25× during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.,sand-veil
9,Has a 30% chance of [paralyzing]{mechanic:paralysis} attacking Pokémon on contact.,static
10,Absorbs []{type:electric} moves. healing for 1/4 max [HP]{mechanic:hp}.,volt-absorb
11,Absorbs []{type:water} moves. healing for 1/4 max [HP]{mechanic:hp}.,water-absorb
12,Prevents [infatuation]{mechanic:infatuation} and protects against []{move:captivate}.,oblivious
13,Negates all effects of [weather]{mechanic:weather}. but does not prevent the weather itself.,cloud-nine
14,Increases moves' [accuracy]{mechanic:accuracy} to 1.3×.,compound-eyes
15,Prevents [sleep]{mechanic:sleep}.,insomnia
16,Changes type to match when hit by a damaging move.,color-change
17,Prevents [poison]{mechanic:poison}.,immunity
18,Protects against []{type:fire} moves.  Once one has been blocked. the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle.,flash-fire
19,Protects against incoming moves' extra effects.,shield-dust
20,Prevents [confusion]{mechanic:confusion}.,own-tempo
21,Prevents being forced out of battle by other Pokémon's moves.,suction-cups
22,Lowers opponents' [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier} upon entering battle.,intimidate
23,Prevents opponents from fleeing or switching out.,shadow-tag
24,Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.,rough-skin
25,Protects against damaging moves that are not [super effective]{mechanic:super-effective}.,wonder-guard
26,Evades []{type:ground} moves.,levitate
27,Has a 30% chance of inflcting either [paralysis]{mechanic:paralysis}. [poison]{mechanic:poison}. or [sleep]{mechanic:sleep} on attacking Pokémon on contact.,effect-spore
28,Copies [burns]{mechanic:burn}. [paralysis]{mechanic:paralysis}. and [poison]{mechanic:poison} received onto the Pokémon that inflicted them.,synchronize
29,Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pokémon.,clear-body
30,Cures any [major status ailment]{mechanic:major-status-ailment} upon switching out.,natural-cure
31,Redirects single-target []{type:electric} moves to this Pokémon where possible.  Absorbs Electric moves. raising [Special Attack]{mechanic:special-attack} one [stage]{mechanic:stat-modifier}.,lightning-rod
32,Doubles the chance of moves' extra effects occurring.,serene-grace
33,Doubles [Speed]{mechanic:speed} during [rain]{mechanic:rain}.,swift-swim
34,Doubles [Speed]{mechanic:speed} during [strong sunlight]{mechanic:strong-sunlight}.,chlorophyll
35,Doubles the wild encounter rate.,illuminate
36,Copies an opponent's ability upon entering battle.,trace
37,Doubles [Attack]{mechanic:attack} in battle.,huge-power
38,Has a 30% chance of [poisoning]{mechanic:poison} attacking Pokémon on contact.,poison-point
39,Prevents [flinching]{mechanic:flinching}.,inner-focus
40,Prevents [freezing]{mechanic:freezing}.,magma-armor
41,Prevents [burns]{mechanic:burn}.,water-veil
42,Prevents []{type:steel} opponents from fleeing or switching out.,magnet-pull
43,Protects against sound-based moves.,soundproof
44,Heals for 1/16 max [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}.,rain-dish
45,Summons a [sandstorm]{mechanic:sandstorm} that lasts indefinitely upon entering battle.,sand-stream
46,Increases the [PP]{mechanic:pp} cost of moves targetting the Pokémon by one.,pressure
47,Halves damage from []{type:fire} and []{type:ice} moves.,thick-fat
48,Makes [sleep]{mechanic:sleep} pass twice as quickly.,early-bird
49,Has a 30% chance of [burning]{mechanic:burn} attacking Pokémon on contact.,flame-body
50,Ensures success fleeing from wild battles.,run-away
51,Prevents [accuracy]{mechanic:accuracy} from being [lowered]{mechanic:stat-modifier}.,keen-eye
52,Prevents [Attack]{mechanic:attack} from being [lowered]{mechanic:stat-modifiers} by other Pokémon.,hyper-cutter
53,Picks up other Pokémon's used and [Flung]{move:fling} held items.  May also pick up an item after battle.,pickup
54,Skips every second turn.,truant
55,Strengthens physical moves to inflict 1.5× damage. but decreases their [accuracy]{mechanic:accuracy} to 0.8×.,hustle
56,Has a 30% chance of [infatuating]{mechanic:infatuation} attacking Pokémon on contact.,cute-charm
57,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.,plus
58,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.,minus
59,Changes []{pokemon:castform}'s type and form to match the [weather]{mechanic:weather}.,forecast
60,Prevents a held item from being removed by other Pokémon.,sticky-hold
61,Has a 33% chance of curing any [major status ailment]{mechanic:major-status-ailment} after each turn.,shed-skin
62,Increases [Attack]{mechanic:attack} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.,guts
63,Increases [Defense]{mechanic:defense} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.,marvel-scale
64,Damages opponents using leeching moves for as much as they would heal.,liquid-ooze
65,Strengthens []{type:grass} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.,overgrow
66,Strengthens []{type:fire} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.,blaze
67,Strengthens []{type:water} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.,torrent
68,Strengthens []{type:bug} moves to inflict 1.5× damage at 1/3 max [HP]{mechanic:hp} or less.,swarm
69,Protects against recoil damage.,rock-head
70,Summons [strong sunlight]{mechanic:strong-sunlight} that lasts indefinitely upon entering battle.,drought
71,Prevents opponents from fleeing or switching out.  Eluded by []{type:flying}-types and Pokémon in the air.,arena-trap
72,Prevents [sleep]{mechanic:sleep}.,vital-spirit
73,Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pokémon.,white-smoke
74,Doubles [Attack]{mechanic:attack} in battle.,pure-power
75,Protects against [critical hits]{mechanic:critical-hit}.,shell-armor
76,Negates all effects of [weather]{mechanic:weather}. but does not prevent the weather itself.,air-lock
77,Doubles [evasion]{mechanic:evasion} when [confused]{mechanic:confusion}.,tangled-feet
78,Absorbs []{type:electric} moves. raising [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier}.,motor-drive
