uuid,pokemon_id,stat_id,base_stat,effort
000ceacf-9891-44c7-af4f-56a620f423c7,219,6,30,0
001f06e2-8105-479c-9d17-fe752f805e2d,281,2,35,0
003586d5-451b-4ff3-8f38-13f1691941f2,170,4,56,0
00397bf6-1822-4c87-986e-9331696752f0,314,2,47,0
00454a91-899c-4f5e-b59f-4d8ec1cc8525,64,6,105,0
0049db5a-6d19-41fe-b98a-35a9398aad85,242,1,255,3
0094b391-f1f4-40b8-87a1-d5724270d8b1,75,6,35,0
0095244f-fb05-4ab8-b458-fca5251479e2,292,4,30,0
0098d548-7a06-4d9f-96ee-72b47892efa8,35,2,45,0
00cc2720-be27-4678-92e6-c9d65d87cced,104,6,35,0
00cd76a8-3a88-40d0-ab4e-180c3299880a,151,4,100,0
01330118-2eed-4410-bb2e-bdc90cbfb4ab,386,1,50,0
01685a17-82d0-4006-9e91-f24a6b6c5171,339,4,46,0
017797b4-b841-4d47-8a14-b4972b3edb84,6,1,78,0
018158f8-e6cd-4343-801c-d2c4e0b461fa,66,3,50,0
01a94cc5-0a98-41b5-a389-fcee4f0d979b,235,4,20,0
01c4c8f4-9da9-40ee-965b-4bad9435cf31,107,3,79,0
01c8400e-793e-4b0f-8d4a-6b97d5446cd4,183,3,50,0
01d6afcf-8b22-4248-81bc-a6f904545407,223,6,65,0
01ef0551-3666-40dd-add5-498db974f8cb,367,2,104,1
022a3843-e7c7-45e7-9f5b-be07292634e0,318,2,90,1
023cdcbe-b0ac-4151-b895-20a4adccd7d6,21,6,70,1
0241e54e-22d8-4f57-92b1-ae51b2a320b4,218,4,70,1
0260b544-f6d6-4474-a795-090dab3ca408,214,2,125,2
0271aba8-36b0-4925-9ae6-4960ab0ee280,318,5,20,0
02a2e096-0018-4304-a29f-0c51337bfe5d,62,2,95,0
02a4b210-e5bb-4549-8a91-63883bf02dee,193,4,75,0
02a518b4-3f3f-49fb-a0f5-ad84169680cb,198,3,42,0
02ccf802-8c8e-4f50-b897-b862718335e8,249,4,90,0
02d5991b-f464-4623-89b9-03729eb87570,212,4,55,0
02dac4b4-3822-401e-b7ea-dbdf425a8a11,224,1,75,0
02e0a456-cc64-4282-b61c-369a7749408e,232,1,90,0
02fb86ab-f453-4e03-bc5c-9f14d6d0876b,40,2,70,0
032ac4d5-86f8-4a4c-a1e1-236eb38c7262,36,6,60,0
03488f02-d694-4f81-9f9f-e5bf78db1137,74,3,100,1
034f0116-d250-4ee6-9b37-64c6918bef58,307,5,55,0
03604827-81e7-4324-8d74-da543d012a08,137,4,85,1
038ca0ac-3463-46e4-86e2-62c1a7bf492a,329,3,50,0
03c621c0-919d-407d-95b9-7fc2a8ef6af9,356,1,40,0
03daa2f0-9af7-4200-8d1e-53bcde6c4658,203,3,65,0
041714b8-e7c7-46a9-ab6d-8b96f7746b1d,204,5,35,0
0427e4bd-e8e9-4f83-b4b1-51603a23ba6f,90,6,40,0
042d7256-e88a-4166-a2ce-49b1fb800ffe,228,4,80,1
045c5f08-4e96-4c33-af72-1eaeffb59180,175,1,35,0
045d7e7a-30cc-4b29-b7f1-ff627238d141,154,2,82,0
046b4c0d-adc3-40ae-b50b-71770d070b5a,294,3,43,0
04965381-fbd9-4f29-a9e1-ff0340df1499,130,2,125,2
04b65247-6374-4f5a-bda7-61fd58240643,311,6,95,1
04c9573f-3d2d-4741-a2ea-a55ebb165253,198,4,85,0
04ef8e1c-a7f4-4224-9cf5-8395c38a726d,39,6,20,0
0522c753-b3fe-4f70-ba67-07c133223d1d,383,4,100,0
058967cc-e7dc-4bb0-acd7-6cbb5f17813b,18,3,75,0
05b1d46f-aef1-402b-8b78-25af90f4520a,267,4,100,3
05d35e98-7f6b-48a7-9254-9a4844bcaf32,333,6,50,0
05f2ecf4-f042-4406-b7f8-b61dfeeaa971,386,6,150,1
05ff4932-b8eb-468d-9255-6ae698830b72,279,2,50,0
063a8f76-3667-4947-add7-387f271e588c,367,1,55,0
063c078f-77c1-4d98-974d-aa85c75ce9b7,255,4,70,1
0682c191-d570-4a9a-a9b9-0fb19f4dc9c4,15,4,45,0
06ba8e4f-5e82-4257-a3d9-9233d038d0a0,195,4,65,0
06dd36e3-b04e-4258-bb26-7bdf0de3db1f,304,4,40,0
06f45403-0680-48d5-b20e-628b71f4db94,49,3,60,0
06ff624d-1752-48a8-b332-480aef4b6dfa,322,2,60,0
070a5b63-e761-4b91-8519-6e9e6d82dcf8,55,4,95,2
072a3680-2ef9-47de-8fb9-3f91d5ab8e3d,331,5,40,0
0754a3bc-3cd6-4ffd-b345-35591e214e8b,131,3,80,0
07634b41-ea89-4e51-b072-eaafad2f039f,340,5,71,0
07845322-1e95-4595-a955-e0b2d7ac6880,383,1,100,0
078fd14b-5efc-4fdd-99a5-3c5666a289c2,3,3,83,0
07976341-e132-4f59-b165-d7230edf2222,74,1,40,0
